seed,method,phase,initial_order,query_index,action_position,action_key,node_index,gw_band_gap_ev,standardized_observation,best_observed_gw_ev,simple_regret_ev
4,FULL_PBE,initial,4,0,163,current-nlr-pbe-gw-v1:gw:matdb:000010337,1932,3.368,-0.5132838528421187,,
4,FULL_PBE,initial,5,0,184,current-nlr-pbe-gw-v1:gw:matdb:000010790,2063,3.15,-0.5971323953071482,,
4,FULL_PBE,initial,6,0,174,current-nlr-pbe-gw-v1:gw:matdb:000287088,2019,2.694,-0.7725220070688613,,
4,FULL_PBE,initial,7,0,176,current-nlr-pbe-gw-v1:gw:matdb:000287053,2037,4.306,-0.15250434443754235,,
4,FULL_PBE,initial,8,0,95,current-nlr-pbe-gw-v1:gw:matdb:000009772,889,2.519,-0.8398316168458344,,
4,NO_PBE,sequential,,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,143,9.753,1.9425553381634466,10.349,0.0
4,NO_PBE,sequential,,2,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,1971,9.956,2.0206344855047353,10.349,0.0
4,NO_PBE,sequential,,3,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,138,5.645,0.36251032694169816,10.349,0.0
4,NO_PBE,sequential,,4,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,133,6.157,0.5594390138320428,10.349,0.0
4,NO_PBE,sequential,,5,117,current-nlr-pbe-gw-v1:gw:matdb:000010399,1189,4.684,-0.00711558731928018,10.349,0.0
4,NO_PBE,sequential,,6,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,730,3.015,-0.6490569514208132,10.349,0.0
4,NO_PBE,sequential,,7,7,current-nlr-pbe-gw-v1:gw:matdb:000009577,122,6.24,0.5913630001834073,10.349,0.0
4,NO_PBE,sequential,,8,9,current-nlr-pbe-gw-v1:gw:matdb:000289592,126,4.942,0.09211800880905746,10.349,0.0
4,NO_PBE,sequential,,9,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,148,7.554,1.0967620130230804,10.349,0.0
4,NO_PBE,sequential,,10,6,current-nlr-pbe-gw-v1:gw:matdb:000009985,120,5.716,0.38981879719407037,10.349,0.0
4,NO_PBE,sequential,,11,8,current-nlr-pbe-gw-v1:gw:matdb:000009995,125,2.291,-0.9275264227266911,10.349,0.0
4,NO_PBE,sequential,,12,151,current-nlr-pbe-gw-v1:gw:matdb:000290117,1765,5.717,0.3902034235356529,10.349,0.0
4,FULL_PBE,sequential,,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,143,9.753,1.9425553381634466,10.349,0.0
4,FULL_PBE,sequential,,2,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,1971,9.956,2.0206344855047353,10.349,0.0
4,FULL_PBE,sequential,,3,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,89,10.14,2.091405732355953,10.349,0.0
4,FULL_PBE,sequential,,4,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,709,7.794,1.189072335002929,10.349,0.0
