autodiff_envelope_max_abs,beta,conditional_ess_from_beta0,count,entropy_effective_fraction,ess_fraction,finite_difference_max_abs,largest_shift_coordinates,largest_standardized_mean_shifts,mass_count_50,mass_count_90,mass_count_99,maximum_weight,point,seed,torch_gradient_max_abs,torch_value_abs
2.3003821070233244e-13,0.5,0.9943365835196866,40,0.9972273996164773,0.9943365835196866,6.064504720626473e-08,"[8, 7, 1, 0, 9]","[0.0466259706280264, 0.043585703396868375, 0.03901577202028159, 0.03898091664301347, 0.03894896133839257]",121,228,253,0.005385237929628122,midpoint,0,2.1884716261411086e-12,1.2434497875801753e-14
3.1308289294429414e-14,0.75,0.9868438552729522,40,0.993632544363731,0.9868438552729522,6.000388541593793e-08,"[8, 7, 9, 0, 1]","[0.07090427760983287, 0.06616832766089928, 0.05936520232663528, 0.058807026395508964, 0.058451256373760425]",118,226,253,0.006309760890357847,midpoint,0,1.8403056856186595e-12,1.176836406102666e-14
9.07718344933528e-13,1.0,0.9758353420711403,40,0.9884433849591603,0.9758353420711403,5.936537839090761e-08,"[8, 7, 9, 0, 1]","[0.09588546754893233, 0.08934666962441544, 0.08047556892313747, 0.0788586207359127, 0.07780958723751379]",114,224,253,0.007382155269248861,midpoint,0,3.240074875066057e-12,9.769962616701378e-15
1.4432899320127035e-15,0.0,0.9999999999999998,16,1.0000000000000007,0.9999999999999998,2.910671703659773e-10,"[7, 4, 11, 9, 3]","[1.4193526930000591e-15, 1.2885885305565137e-15, 1.185604649842365e-15, 1.0607933502019944e-15, 1.0369609086546039e-15]",128,231,254,0.003906250000000001,map,1,2.886579864025407e-15,2.220446049250313e-16
1.3322676295501878e-15,0.25,0.9741071152270261,16,0.9861142967254605,0.9741071152270261,1.7589907308490638e-10,"[11, 8, 5, 6, 2]","[0.09738144148454277, 0.07797142453560496, 0.07261812441880584, 0.06903817272222308, 0.056504188746142395]",113,221,252,0.005107392856764116,map,1,1.1102230246251565e-15,3.552713678800501e-15
1.7763568394002505e-15,0.5,0.9157537124612818,16,0.9519423576931942,0.9157537124612818,2.6485069692938623e-10,"[11, 8, 5, 6, 2]","[0.1864840370408878, 0.14225550935770573, 0.14087908410022923, 0.1267050886084762, 0.10732531179584258]",99,209,249,0.006504968687836344,map,1,4.773959005888173e-15,0.0
6.661338147750939e-16,0.75,0.843988881307863,16,0.9060569536015232,0.843988881307863,2.097103601883532e-10,"[11, 5, 8, 6, 2]","[0.2672009848673732, 0.20383548748930214, 0.19577724169260774, 0.17486636286469318, 0.15268091115431176]",87,198,245,0.008106915906530229,map,1,2.7755575615628914e-15,0.0
1.1102230246251565e-15,1.0,0.7690666275916901,16,0.8542163533150278,0.7690666275916899,1.6979484485091234e-10,"[11, 5, 8, 6, 2]","[0.34023882356384977, 0.26160964997363384, 0.2408828358797345, 0.21543388400335273, 0.19318231251178866]",77,186,240,0.009919940655566352,map,1,9.992007221626409e-16,0.0
9.992007221626409e-16,0.0,0.9999999999999998,16,1.0000000000000007,0.9999999999999998,8.865262135504537e-10,"[7, 4, 11, 9, 3]","[1.4193526930000591e-15, 1.2885885305565137e-15, 1.185604649842365e-15, 1.0607933502019944e-15, 1.0369609086546039e-15]",128,231,254,0.003906250000000001,teacher,1,2.4424906541753444e-15,1.1102230246251565e-16
1.2212453270876722e-15,0.25,0.9705895548160105,16,0.9838414718050238,0.9705895548160103,1.111823966226666e-09,"[11, 8, 2, 3, 7]","[0.12178880873296555, 0.08289173475238654, 0.07663945486449936, 0.06426295299581736, 0.06414154113480107]",112,220,251,0.005354608519713609,teacher,1,2.3314683517128287e-15,3.552713678800501e-15
5.551115123125783e-16,0.5,0.9088307996712145,16,0.9465892792915158,0.9088307996712147,1.0489381793710173e-09,"[11, 8, 2, 3, 7]","[0.2313146205069042, 0.14281578149083066, 0.14110971147858908, 0.11992758262575035, 0.11757690685896616]",98,207,248,0.007124116747336402,teacher,1,6.661338147750939e-16,0.0
2.55351295663786e-15,0.75,0.8360165788614023,16,0.8985987519184606,0.8360165788614023,9.576324767890387e-10,"[11, 2, 8, 3, 7]","[0.32832552444480406, 0.1941223405751164, 0.18743632859304338, 0.1659875884889651, 0.15971740924394107]",86,195,244,0.009259674605431919,teacher,1,1.6653345369377348e-15,1.1657341758564144e-15
