support_count,factor_count,state,record_kind,epsilon,stage,active_factor_count,active_factor_fraction,active_leader,worst_challenger,active_ei_gap,b_struct,max_psi,shadow_full_leader,shadow_full_action_agreement,shadow_full_laplace_ei_regret,cumulative_factor_energy_gradient_calls,cumulative_factor_energy_gradient_work,cumulative_factor_hessian_calls,cumulative_factor_hessian_work,stage_fit_conditioning_seconds,load_solve_seconds,load_solve_iterations,load_solve_relative_residual,cumulative_conditioning_seconds,activated_factor_count_after_stage,certified,full_bank_fallback,peak_rss_bytes,pair_solve_seconds,pair_solve_iterations,pair_solve_relative_residual
1000,499361,seed_0_after_12_queries,stage,0.02,3,468363,0.937924667725353,133,53,-1.2117019956698213e-06,0.1429052207703656,0.14290400906836995,133,True,0.0,156,72975628,3,1403589,0.4433530420064926,0.0007759588770568371,17,7.176654731328055e-12,1.5296870830934495,1105,False,False,316276736,0.000699915923178196,17,8.296832977697392e-12
1000,499361,seed_0_after_12_queries,stage,0.02,4,469468,0.9401374957195295,133,172,-1.457599925253018e-06,0.13538502532357838,0.13538356772365312,133,True,0.0,187,87529136,4,1873057,0.2973149169702083,0.0007532502058893442,17,7.324547516737654e-12,1.8348438749089837,588,False,False,316276736,0.0006977920420467854,17,9.065876164144368e-12
1000,499361,seed_0_after_12_queries,stage,0.02,5,470056,0.9413150005707294,133,154,-1.0224023087569002e-06,0.13186421037478088,0.13186318797247212,133,True,0.0,226,105861320,5,2343113,0.36305945785716176,0.0007608749438077211,17,7.29467580101756e-12,2.2059450829401612,425,False,False,316276736,0.0007688750047236681,17,9.443655152915305e-12
1000,499361,seed_0_after_12_queries,stage,0.02,6,470481,0.9421660882607973,133,173,-1.7810851589806727e-06,0.10673027912564957,0.10672849804049059,133,True,0.0,262,122798636,6,2813594,0.34452366596087813,0.000788999954238534,17,7.364090280481032e-12,2.5585940000601113,178,False,False,316276736,0.0006870001088827848,17,8.819584376293171e-12
1000,499361,seed_0_after_12_queries,stage,0.02,7,470659,0.9425225438109904,133,186,-1.655076870430362e-06,0.06186401085217282,0.06186235577530239,133,True,0.0,296,138801042,7,3284253,0.32777887489646673,0.000765542034059763,17,7.364651359234101e-12,2.8945547500625253,90,False,False,316276736,0.0007235000375658274,18,1.7692955656691125e-12
1000,499361,seed_0_after_12_queries,stage,0.02,8,470749,0.9427027741453577,133,17,-1.7100248214546448e-06,0.0592011729099706,0.05919946288514915,133,True,0.0,320,150099018,8,3755002,0.23153304099105299,0.000747875077649951,17,7.380496442482371e-12,3.1335722079966217,0,False,False,316276736,,,
1000,499361,seed_0_after_12_queries,fallback,0.02,8,499361,1.0,133,,,0.0,,133,True,0.0,391,185553649,9,4254363,0.6876738748978823,0.0,0,0.0,3.821708207949996,0,False,True,316276736,,,
2142,2292440,seed_0_initial,stage,0.02,0,0,0.0,12,24,-0.0018944876028962679,2.729254598540663,2.7273601109377665,10,False,0.003384262097145801,0,0,0,0,0.0,0.0008013751357793808,16,6.587882112229671e-12,0.0011485829018056393,2223464,False,False,317112320,0.0008499159011989832,18,3.258389145657494e-12
2142,2292440,seed_0_initial,stage,0.02,1,2223464,0.9699115353073581,10,187,-0.00522393456021944,0.1803460575586424,0.17512212299842295,10,True,0.0,114,253474896,1,2223464,4.802289792103693,0.0008818330243229866,18,2.380947031828171e-12,5.105809082975611,1787,False,False,337920000,0.0008960829582065344,18,2.6197395377303803e-12
2142,2292440,seed_0_initial,stage,0.02,2,2225251,0.9706910540733891,10,38,-0.0057985990303853555,0.1412371519907301,0.13543855296034474,10,True,0.0,165,366962697,2,4448715,2.187720207963139,0.000869374955072999,18,2.3418216520227946e-12,7.321505083004013,1141,False,False,337920000,0.0008071251213550568,18,2.5700465863252125e-12
2142,2292440,seed_0_initial,stage,0.02,3,2226392,0.9711887770236081,10,84,-0.007083098270077444,0.12807229378532903,0.12098919551525159,10,True,0.0,213,473829513,3,6675107,2.0453996248543262,0.0009347500745207071,18,2.3624002752597047e-12,9.393606040859595,534,False,False,338296832,0.0008968748152256012,18,2.6899697055877415e-12
2142,2292440,seed_0_initial,stage,0.02,4,2226926,0.9714217165989077,10,40,-0.005516994157677115,0.12288922163977445,0.11737222748209733,10,True,0.0,241,536183441,4,8902033,1.3471960409078747,0.0009456248953938484,18,2.3701873657613325e-12,10.768958624918014,598,False,False,338919424,0.0008107088506221771,18,2.881645199106736e-12
