round,batch_id,chunk_index,proposals_generated,proposals_consumed,accepted_candidates,accepted_retained,cumulative_proposals_generated,cumulative_proposals_consumed,cumulative_accepted_retained
5,cert-r05-7b1f78d701ef1cfec013,164,25000,25000,8367,8367,4125000,4125000,1379036
5,cert-r05-7b1f78d701ef1cfec013,165,25000,25000,8199,8199,4150000,4150000,1387235
5,cert-r05-7b1f78d701ef1cfec013,166,25000,25000,8398,8398,4175000,4175000,1395633
5,cert-r05-7b1f78d701ef1cfec013,167,25000,25000,8304,8304,4200000,4200000,1403937
5,cert-r05-7b1f78d701ef1cfec013,168,25000,25000,8302,8302,4225000,4225000,1412239
5,cert-r05-7b1f78d701ef1cfec013,169,25000,25000,8324,8324,4250000,4250000,1420563
5,cert-r05-7b1f78d701ef1cfec013,170,25000,25000,8410,8410,4275000,4275000,1428973
5,cert-r05-7b1f78d701ef1cfec013,171,25000,25000,8211,8211,4300000,4300000,1437184
5,cert-r05-7b1f78d701ef1cfec013,172,25000,25000,8296,8296,4325000,4325000,1445480
5,cert-r05-7b1f78d701ef1cfec013,173,25000,25000,8475,8475,4350000,4350000,1453955
5,cert-r05-7b1f78d701ef1cfec013,174,25000,25000,8297,8297,4375000,4375000,1462252
5,cert-r05-7b1f78d701ef1cfec013,175,25000,25000,8453,8453,4400000,4400000,1470705
5,cert-r05-7b1f78d701ef1cfec013,176,25000,25000,8346,8346,4425000,4425000,1479051
5,cert-r05-7b1f78d701ef1cfec013,177,25000,25000,8436,8436,4450000,4450000,1487487
5,cert-r05-7b1f78d701ef1cfec013,178,25000,25000,8327,8327,4475000,4475000,1495814
5,cert-r05-7b1f78d701ef1cfec013,179,25000,12299,8405,4186,4500000,4487299,1500000
